,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,208500,95,1,2.18,11.86,0.6,2.18,10.0
1,208600,95,1,2.83,12.19,0.6,2.83,9.84
2,208700,95,1,2.5,10.34,0.6,2.5,8.69
3,208800,95,1,2.43,10.74,0.6,2.43,9.27
4,208900,95,1,2.11,10.94,0.6,2.11,9.4
5,209000,95,1,2.91,13.16,0.6,2.91,9.79
6,209100,95,1,2.66,12.49,0.6,2.66,9.83
7,209200,95,1,2.1,11.83,0.6,2.1,9.57
8,209300,95,1,2.56,11.8,0.6,2.56,9.59
9,209400,95,1,2.39,11.49,0.6,2.39,9.11
10,209500,95,1,2.12,12.23,0.6,2.12,9.29
11,209600,95,1,2.81,11.84,0.6,2.81,9.53
12,209700,95,1,2.29,11.97,0.6,2.29,9.13
13,209800,95,1,2.51,12.07,0.6,2.51,9.08
14,209900,95,1,2.58,12.31,0.6,2.58,9.47
15,210000,95,1,2.23,11.74,0.6,2.23,8.81
16,210100,95,1,2.37,10.87,0.6,2.37,9.22
17,210200,95,1,2.87,13.3,0.6,2.87,9.45
18,210300,95,1,2.27,13.23,0.6,2.27,9.37
19,210400,95,1,2.54,12.37,0.6,2.54,9.18
20,210500,95,1,2.38,11.07,0.6,2.38,8.41
21,210600,95,1,2.27,11.12,0.6,2.27,9.15
22,210700,95,1,2.8,12.1,0.6,2.8,9.17
23,210800,95,1,2.56,12.89,0.6,2.56,9.39
24,210900,95,1,2.41,12.74,0.6,2.41,9.04
25,211000,95,1,2.33,13.53,0.6,2.33,9.56
26,211100,95,1,2.77,12.44,0.6,2.77,10.25
27,211200,95,1,2.63,12.14,0.6,2.63,9.24
28,211300,95,1,2.53,11.39,0.6,2.53,9.59
29,211400,95,1,2.41,11.65,0.6,2.41,9.71
30,211500,95,1,2.29,11.1,0.6,2.29,9.56
31,211600,95,1,2.47,11.11,0.6,2.47,9.47
32,211700,95,1,2.22,11.13,0.6,2.22,9.58
33,211800,95,1,2.29,11.44,0.6,2.29,9.41
34,211900,95,1,2.33,11.78,0.6,2.33,9.11
35,212000,95,1,2.67,10.76,0.6,2.67,9.15
36,212100,95,1,2.48,10.76,0.6,2.48,9.06
37,212200,95,1,2.07,10.87,0.6,2.07,9.17
38,212300,95,1,2.53,10.84,0.6,2.53,9.31
39,212400,95,1,2.57,10.41,0.6,2.57,8.68
40,212500,95,1,2.56,10.67,0.6,2.56,9.14
41,212600,95,1,2.15,10.63,0.6,2.15,8.41
42,212700,95,1,2.46,11.26,0.6,2.46,9.74
